"co_pcdt","sg_procedimentoa","sg_procedimentob","qt_cns_paciente","sg_procedimentob2"
19,AZAT50,INFL1010,6591,INFL1010
19,AZAT50,MESA500,3512,MESA500
19,AZAT50,MESA800,2273,MESA800
19,INFL1010,AZAT50,2079,AZAT50
19,MESA400,AZAT50,3276,AZAT50
19,MESA400,MESA800,3043,MESA800
19,MESA500,AZAT50,4398,AZAT50
19,MESA800,AZAT50,2776,AZAT50
20,ALFA200,ALFA200,151,ALFA200
20,ALFA200,IMIG400,71,IMIG400
20,ALFA200,MIGL100,6,MIGL100
20,IMIG200,ALFA200,96,ALFA200
20,IMIG200,IMIG400,465,IMIG400
20,IMIG200,MIGL100,8,MIGL100
20,IMIG400,ALFA200,59,ALFA200
20,IMIG400,GABA300,5,GABA300
20,IMIG400,IMIG200,8,IMIG200
20,IMIG400,MIGL100,25,MIGL100
20,MIGL100,MIGL100,70,MIGL100
21,ALEN10,ADAL40,1,ADAL40
21,ALEN10,ALEN70,15,ALEN70
21,ALEN10,ATOR10,2,ATOR10
21,ALEN10,AZAT50,1,AZAT50
21,ALEN10,CALC025,1,CALC025
21,ALEN10,CALC200,3,CALC200
21,ALEN10,CICLOSP100,1,CICLOSP100
21,ALEN10,COMP1,1,COMP1
21,ALEN10,FORM1240060,1,FORM1240060
21,ALEN10,GALA8,2,GALA8
21,ALEN10,LAMI150,1,LAMI150
21,ALEN10,LEVO25,1,LEVO25
21,ALEN10,MICO360,1,MICO360
21,ALEN10,MORF10,1,MORF10
21,ALEN10,OLAN5,1,OLAN5
21,ALEN10,PAMI60,1,PAMI60
21,ALEN10,RISE35,1,RISE35
21,ALEN10,RIVA3,1,RIVA3
21,ALEN10,SACA1005,1,SACA1005
21,ALEN10,TOPI25,1,TOPI25
21,ALEN70,ACIT10,1,ACIT10
21,ALEN70,ALEN10,1,ALEN10
21,ALEN70,ATOR20,1,ATOR20
21,ALEN70,CALC025,1,CALC025
21,ALEN70,CALC200,2,CALC200
21,ALEN70,FORM12,1,FORM12
21,ALEN70,FORM12400,1,FORM12400
21,ALEN70,METO25,1,METO25
21,ALEN70,METO252,1,METO252
21,ALEN70,PRAM0125,1,PRAM0125
21,ALEN70,QUET100,1,QUET100
21,ALEN70,QUET25,1,QUET25
21,ALEN70,RALO60,1,RALO60
21,ALEN70,SINV20,2,SINV20
21,CALC100,ALEN10,1,ALEN10
21,CALC100,ALFA2000,2,ALFA2000
21,CALC100,ALFA4000,1,ALFA4000
21,CALC100,CALC025,1,CALC025
21,CALC100,RISE35,1,RISE35
21,CALC100,SACA1005,1,SACA1005
21,CALC200,ALEN10,4,ALEN10
21,CALC200,ALEN70,1,ALEN70
21,CALC200,CALC025,2,CALC025
21,CALC200,CODE30,1,CODE30
21,CALC200,DESF500,1,DESF500
21,CALC200,GABA300,1,GABA300
21,CALC200,GALA16,1,GALA16
21,CALC200,LAMI10240,1,LAMI10240
21,CALC200,LEVO20050,1,LEVO20050
21,CALC200,META10,1,META10
21,CALC200,METO25,1,METO25
21,CALC200,PAMI90,2,PAMI90
21,CALC200,QUET25,1,QUET25
21,CALC200,RALO60,1,RALO60
21,CALC200,SINV10,1,SINV10
21,CALC200,TENO300,1,TENO300
21,PAMI30,ATOR20,1,ATOR20
21,PAMI30,CALC200,1,CALC200
21,PAMI30,PAMI30,7,PAMI30
21,PAMI30,PAMI60,1,PAMI60
21,PAMI60,ATOR10,1,ATOR10
21,PAMI60,ATOR20,1,ATOR20
21,PAMI60,BRIM205,1,BRIM205
21,PAMI60,CALC025,1,CALC025
21,PAMI60,META5,1,META5
21,PAMI60,METO25,1,METO25
21,PAMI90,ALEN70,2,ALEN70
21,PAMI90,ALFA3000,1,ALFA3000
21,PAMI90,ALFA4000,1,ALFA4000
21,PAMI90,ATOR20,1,ATOR20
21,PAMI90,CALC025,1,CALC025
21,PAMI90,CALC200,2,CALC200
21,PAMI90,CODE30,1,CODE30
21,PAMI90,MORF10,1,MORF10
21,PAMI90,MORF30,1,MORF30
21,PAMI90,PAMI30,4,PAMI30
21,PAMI90,PAMI60,5,PAMI60
21,PAMI90,PAMI90,29,PAMI90
21,PRAV20,ALEN10,1,ALEN10
21,RISE35,ALEN70,1,ALEN70
21,RISE35,ATOR10,1,ATOR10
21,RISE35,ATOR40,1,ATOR40
21,RISE35,BRIM205,1,BRIM205
21,RISE35,CALC200,1,CALC200
21,RISE35,ETAN25,1,ETAN25
21,RISE35,GABA300,1,GABA300
21,RISE35,LEFL20,1,LEFL20
21,RISE35,RISP1,1,RISP1
22,AMAN100,ENTA200,4391,ENTA200
22,AMAN100,PRAM025,6711,PRAM025
22,AMAN100,PRAM1,5795,PRAM1
22,LEVO20050,AMAN100,5394,AMAN100
22,LEVO20050,PRAM025,5048,PRAM025
22,PRAM0125,PRAM025,4211,PRAM025
22,PRAM025,AMAN100,5068,AMAN100
22,PRAM025,PRAM1,11109,PRAM1
22,PRAM1,AMAN100,4301,AMAN100
22,PRAM1,ENTA200,3697,ENTA200
23,PENI250,ALEN10,5,ALEN10
23,PENI250,ALEN70,5,ALEN70
23,PENI250,ATOR10,4,ATOR10
23,PENI250,ATOR20,5,ATOR20
23,PENI250,AZAT50,51,AZAT50
23,PENI250,BIPE2,7,BIPE2
23,PENI250,CIPR100,7,CIPR100
23,PENI250,CLOR150,6,CLOR150
23,PENI250,GABA300,5,GABA300
23,PENI250,HIDR400,4,HIDR400
23,PENI250,LEFL20,8,LEFL20
23,PENI250,LEVO20050,5,LEVO20050
23,PENI250,METO25,21,METO25
23,PENI250,MICO360,10,MICO360
23,PENI250,MICO500,4,MICO500
23,PENI250,OLAN10,4,OLAN10
23,PENI250,QUET100,6,QUET100
