"co_pcdt","co_uf_ibge_estabelecimento","nu_ano_competencia","qt_cnes_estabelecimento"
2,26,2012,1
2,26,2013,1
2,26,2014,1
2,26,2015,1
2,26,2016,1
2,26,2017,1
2,26,2018,1
2,26,2019,1
2,27,2008,1
2,27,2009,1
2,27,2010,1
2,27,2011,1
2,27,2012,1
2,27,2013,1
2,27,2014,1
2,27,2015,1
2,27,2016,1
2,27,2017,1
2,27,2018,1
2,27,2019,1
2,28,2008,1
2,28,2009,1
2,28,2010,1
2,28,2011,1
2,28,2012,1
2,28,2013,1
2,28,2014,1
2,28,2015,1
2,28,2016,1
2,28,2017,1
2,28,2018,1
2,28,2019,1
2,29,2008,2
2,29,2009,1
2,29,2010,1
2,29,2011,1
2,29,2012,1
2,29,2013,1
2,29,2014,1
2,29,2015,1
2,29,2016,2
2,29,2017,3
2,29,2018,25
2,29,2019,22
2,31,2008,27
2,31,2009,26
2,31,2010,26
2,31,2011,27
2,31,2012,27
2,31,2013,27
2,31,2014,27
2,31,2015,28
2,31,2016,28
2,31,2017,28
2,31,2018,28
2,31,2019,28
2,32,2008,6
2,32,2009,7
2,32,2010,8
2,32,2011,8
2,32,2012,9
2,32,2013,9
2,32,2014,10
2,32,2015,10
2,32,2016,10
2,32,2017,10
2,32,2018,10
2,32,2019,10
2,33,2008,1
2,33,2009,1
2,33,2010,1
2,33,2011,1
2,33,2012,1
2,33,2013,1
2,33,2014,1
2,33,2015,1
2,33,2016,1
2,33,2017,1
2,33,2018,1
2,33,2019,1
2,35,2008,38
2,35,2009,40
2,35,2010,39
2,35,2011,34
2,35,2012,34
2,35,2013,34
2,35,2014,34
2,35,2015,36
2,35,2016,34
2,35,2017,34
2,35,2018,33
2,35,2019,34
2,41,2008,22
2,41,2009,22
2,41,2010,22
2,41,2011,22
2,41,2012,22
2,41,2013,22
2,41,2014,22
2,41,2015,22
2,41,2016,22
2,41,2017,22
2,41,2018,22
2,41,2019,22
2,42,2008,1
2,42,2009,1
2,42,2010,1
2,42,2011,1
2,42,2012,1
2,42,2013,1
2,42,2014,1
2,42,2015,1
2,42,2016,1
2,42,2017,1
2,42,2018,1
2,42,2019,1
2,43,2008,18
2,43,2009,17
2,43,2010,18
2,43,2011,19
2,43,2012,18
2,43,2013,18
2,43,2014,18
2,43,2015,18
2,43,2016,18
2,43,2017,18
2,43,2018,18
2,43,2019,17
2,50,2008,1
2,50,2009,1
2,50,2010,1
2,50,2011,1
2,50,2012,1
2,50,2013,1
2,50,2014,1
2,50,2015,1
2,50,2016,1
2,50,2017,1
2,50,2018,1
2,50,2019,1
2,51,2008,1
2,51,2009,1
2,51,2010,1
2,51,2011,1
2,51,2012,1
2,51,2013,1
2,51,2014,1
2,51,2015,1
2,51,2016,1
2,51,2017,1
2,51,2018,1
2,51,2019,1
2,52,2008,3
2,52,2009,2
2,52,2010,2
2,52,2011,3
2,52,2012,3
2,52,2013,3
2,52,2014,3
2,52,2015,3
2,52,2016,3
2,52,2017,3
