co_pcdt,co_cnes_estabelecimento,qt_dispensacao,qt_cns_paciente,nu_competencia_min,nu_competencia_max
2,2076802,7922,252,200801,201906
2,2078015,10216,627,200801,201007
2,2078287,10,4,200801,200910
2,2081695,463,55,200801,200812
2,2088576,956,112,200801,201003
2,2088940,12083,400,200801,201906
2,2091461,1610,168,200801,200907
2,2091542,1129,176,200801,200907
2,2092107,151,34,200801,200912
2,2092360,8109,294,200801,201906
2,2092603,2609,175,200801,201906
2,2092751,308,72,200801,200809
2,2092999,7255,330,200801,201906
2,2179067,832,21,200801,201905
2,2179113,479,17,200801,201906
2,2194406,3223,103,200801,201906
2,2198290,1646,33,200801,201906
2,2228505,571,24,200802,201906
2,2234351,270,9,200802,201903
2,2236281,828,28,200801,201906
2,2239248,7,3,201102,201110
2,2244055,1257,75,200801,201906
2,2246597,2334,83,200801,201906
2,2249456,547,22,200801,201905
2,2251981,956,29,200801,201906
2,2257343,649,38,200805,201906
2,2259745,831,29,200801,201906
2,2261960,148,7,200801,201811
2,2263777,79,11,200802,201906
2,2265745,750,36,200801,201906
2,2332981,2278,108,200801,201307
2,2336766,11184,219,200801,201906
2,2407418,20989,429,200801,201906
2,2414783,19,5,201807,201905
2,2415372,115,17,200801,201212
2,2448467,992,58,200801,201906
2,2466120,3759,188,200801,201906
2,2469944,20,3,201809,201905
2,2479958,12,2,201002,201101
2,2481499,369,27,200801,201305
2,2493845,1,1,200801,200801
2,2494892,946,77,200801,201906
2,2497654,7127,555,200801,201305
2,2498049,13184,971,200801,201905
2,2499363,21,4,201206,201305
2,2526867,22204,1101,201304,201906
2,2531496,13202,818,200802,201906
2,2532174,242,24,200801,201906
2,2557258,172,5,200803,201906
2,2557886,5,1,201901,201905
2,2561492,6901,446,200801,201305
2,2563681,32,10,200804,201303
2,2569043,2118,101,200801,201906
2,2571536,902,27,200801,201906
2,2576546,932,17,200801,201906
2,2582473,893,14,200801,201906
2,2583879,1070,37,200801,201906
2,2588447,447,7,200801,201906
2,2589885,422,86,200801,201905
2,2590441,4671,81,200801,201906
2,2602148,32,10,201810,201905
2,2611775,6745,351,200801,201303
2,2649349,721,60,200801,201906
2,2686864,1358,43,200801,201906
2,2716380,243,46,200801,201004
2,2719991,3922,234,200801,201906
2,2747863,6282,230,200801,201906
2,2749769,20802,1284,200801,201906
2,2752697,273,33,200811,201308
2,2752700,59,23,200803,201108
2,2752727,10,5,200911,201006
2,2767449,684,24,200801,201905
2,2767457,4328,88,200801,201906
2,2767465,3507,68,200801,201906
2,2767473,549,13,200801,201906
2,2767481,4289,150,200801,201906
2,2768259,2730,131,200801,201906
2,2768267,201,9,200801,201905
2,2768275,4935,159,200801,201906
2,2768399,2127,66,200801,201906
2,2768402,1048,48,200801,201906
2,2768410,21387,495,200801,201906
