"co_pcdt","sg_procedimento"
26,FORM620060
26,SALM5060
27,CODE30
27,CODE302
27,CODE3120
27,CODE60
27,GABA300
27,GABA400
27,META10
27,META101
27,META5
27,MORF10
27,MORF100
27,MORF101
27,MORF1060
27,MORF30
27,MORF60
28,DANA100
28,DANA200
28,GOSS1080
28,GOSS360
28,LEUP1125
28,LEUP375
28,SOMA4
28,TRIP1125
28,TRIP375
29,ALEN70
29,ALFA25000000
29,ALFA4000
29,BIPE2
29,BUDE200100
29,CALC025
29,CICLOSP50
29,CLOB10
29,CLOB20
29,ETOS50120
29,FORM12
29,FORM12400
29,FORM1240060
29,GABA300
29,GABA400
29,HIDR400
29,LAMO100
29,LAMO25
29,LAMO50
29,LEFL20
29,LEUP375
29,MESA400
29,MICO180
29,MICO360
29,NITR5
29,OLAN5
29,PRIM100
29,PRIM250
29,RALO60
29,RISP1
29,RISP2
29,SALB100200
29,TACR1
29,TACR5
29,TOPI100
29,TOPI25
29,TOPI50
29,TOXI500
29,VIGA500
30,ALFA4000
30,CALC025
30,CLOR150
30,RILU50
30,SEVE800
31,ALFA210000000
31,AZAT50
31,BETA11200000044
31,BETA1600000022
31,BETA1600000030
31,BETA19600000300
31,FING05
31,FUMA120
31,FUMA240
31,GABA400
31,GLAT20
31,MICO500
31,NATA300
31,SULF500
31,TERI14
31,TOXI100
31,TOXI500
32,ALEN10
32,AZAT50
32,CICLOFO50
32,METO25
32,METO252
32,PENI250
32,RALO60
32,SILD25
32,SILD50
33,ALFA4000
33,CALC025
33,SEVE800
33,TOXI100
33,TOXI500
34,ADAL40
34,ALEN10
34,CALC025
34,CERT200
34,CICLOSP50
34,ETAN25
34,ETAN50
34,GOLI50
34,INFL1010
34,MESA1000
34,METO25
34,METO252
34,NAPR250
34,NAPR500
34,RALO60
34,SECU150
34,SULF500
35,METO252
35,NAPR250
35,NAPR500
36,ACIT25
36,ALEN10
36,ALFA4000
36,AMAN100
36,ATOR10
36,AZAT50
36,BETA11200000044
36,BIPE2
36,BIPE4
36,BROM25
36,BUDE200100
36,CALC025
36,CICLOSP100
36,CLOZ100
36,CLOZ25
36,DONE10
36,DONE5
36,FORM12
36,FORM12400
36,GABA300
36,GABA400
36,HIDR400
36,ISOT20
36,LAMO100
36,LEFL20
36,LEVO20050
36,LEVO25025
36,MESA400
36,MICO360
36,OLAN10
36,OLAN5
36,PRAM0125
36,PRAM025
36,PRAM1
36,QUET100
36,QUET200
36,QUET25
36,QUET300
36,RALO60
36,RIBA250
36,RISP1
36,RISP2
36,RISP3
36,RIVA15
36,RIVA20120
36,RIVA3
36,RIVA45
36,RIVA6
36,SACA1005
36,SALB100200
36,SELE5
36,SEVE800
36,SULF500
36,TOLC100
36,TOPI100
36,TOPI25
36,TOPI50
36,VIGA500
36,ZIPR40
36,ZIPR80
37,COMP1
37,ISOT20
37,OLAN10
37,RISP1
37,SINV20
38,ALEN10
38,ALFA25
38,BUDE200
38,BUDE200100
38,CIPR100
38,CIPR500
38,ENTA200
38,FORM12
38,FORM12400
38,FORM1240060
38,FORM1260
38,FORM620060
38,MICO360
38,PANC10000
38,PANC12000
38,PANC18000
38,PANC20000
38,PANC25000
38,PANC4500
38,PENI250
38,SALB100200
38,TACR1
38,TACR5
40,ALFA210000000
40,ALFA23000000
40,ALFA25000000
41,ALEN10
41,AZAT50
41,CALC025
41,CICLOSP100
41,LEFL20
41,MICO500
42,LAMI10240
42,LAMI150
42,LEVO20050
43,ALFA1000
43,ALFA10000
43,ALFA2000
43,ALFA2100
43,ALFA210000000
43,ALFA2120
43,ALFA2180
