"co_pcdt","sg_uf","qt_cobertura_municipio_uf","qt_cns_mes_habitante"
14,MT,16,1.4677800267429522
14,PA,10,0.19938730275735692
14,PB,15,1.6164546344191248
14,PE,14,0.7981888280557367
14,PI,6,0.4872091519705709
14,PR,32,2.4300890652439238
14,RJ,55,0.6333080496663284
14,RN,17,1.3373069498910848
14,RO,15,0.6804488300967658
14,RR,13,0.8665571338449486
14,RS,31,2.6039633216509444
14,SC,21,3.2980678040157856
14,SE,21,0.9189913510173308
14,SP,58,4.1286878653604235
14,TO,2,0.5866143406674792
15,AC,23,0.8076984529784395
15,AL,11,0.7487818643834395
15,AM,10,0.9098259468576538
15,AP,12,0.453236406667602
15,BA,28,1.4560682524346351
15,CE,41,2.097742457913202
15,DF,100,1.1450504051188333
15,ES,50,6.308496124207795
15,GO,28,2.396543269989473
15,MA,17,1.6456535402247567
15,MG,31,3.780728941614203
15,MS,41,1.6252237368389244
15,MT,18,2.4460335630852503
15,PA,19,0.6753331234910307
15,PB,18,2.1989608089845754
15,PE,29,2.115479481350519
15,PI,5,0.49577061714106835
15,PR,41,3.466045401447683
15,RJ,57,0.6584288282543456
15,RN,20,1.7313348904839936
15,RO,38,2.8939770194869747
15,RR,13,1.1068628936506906
15,RS,36,4.164047073829485
15,SC,43,10.666535745899155
15,SE,24,1.422832294287537
15,SP,60,2.83208756412096
15,TO,9,2.1742988061696784
16,AC,45,9.949376398052596
16,AL,76,36.96678465856088
16,AM,31,7.3645753808635295
16,AP,31,13.90611702275597
16,BA,81,43.755374751219215
16,CE,101,144.80568689458264
16,DF,100,91.81674928318488
16,ES,100,292.88315060338783
16,GO,86,76.11578575864927
16,MA,53,90.72916508626845
16,MG,85,158.35658499567572
16,MS,87,50.06515494414822
16,MT,62,168.68689779703942
16,PA,27,2.905096798465727
16,PB,93,272.103196793886
16,PE,74,29.276226595470902
16,PI,33,24.994094283672883
16,PR,96,217.00530040446932
16,RJ,97,17.310860739626804
16,RN,96,307.61641919682154
16,RO,73,42.313836508609995
16,RR,87,37.17404516204417
16,RS,98,198.58374908704988
16,SC,99,1348.1373995086046
16,SE,99,328.1699649900407
16,SP,100,625.3211780736054
16,TO,28,59.4775931494157
17,AC,32,1.8356783022237262
17,AL,35,4.020382625689544
17,AM,21,4.670917459458191
17,AP,12,2.1518954808936246
