"co_pcdt","sg_uf","nu_competencia_min","nu_competencia_max","qt_municipios_atendimento","qt_municipios_paciente","qt_secretarias","qt_cns_pacientes","qt_00a20","qt_21a40","qt_41a60","qt_61a00","qt_sexof","qt_sexom","qt_obito_paciente","qt_cid","qt_sigtap","qt_registros","qt_aprovada","vl_aprovado_ipca","qt_redesbr1","qt_redesbr2","qt_redesbr3","qt_redesbr4","qt_redesbr5"
26,ES,200801,201906,11,78,2,5005,257,773,25251,96091,53615,68757,47,3,10,122372,6280089,31.41,0,13594,34692,0,74086
26,RJ,200801,201906,4,46,3,887,23,67,3055,7803,4667,6281,0,3,8,10948,619270,23.99,0,0,1190,355,9403
26,SP,201308,201906,33,640,5,87305,11847,40941,399540,1212410,853965,810773,476,3,12,1664738,9242070,0.00,0,55076,294758,283934,1030970
26,PR,201308,201906,30,357,6,12520,1033,6189,92199,258180,172649,184952,609,3,9,357601,493304,0.00,5103,9642,203760,283,138813
26,SC,201312,201906,3,262,3,5874,203,1038,32325,89634,50714,72486,318,3,9,123200,5251140,0.00,0,0,57303,19897,46000
26,RS,201308,201906,21,445,3,11809,425,2712,69554,186771,119103,140359,0,3,9,259462,3583356,0.00,0,0,135162,14739,109449
26,MS,201311,201906,3,69,3,1399,23,528,6876,16414,12034,11807,8,3,8,23841,18045,0.00,0,106,7356,16379,0
26,MT,201310,201906,4,80,3,631,14,60,1165,2872,1657,2454,0,3,9,4111,41929,0.00,155,1883,0,2073,0
26,GO,201308,201906,8,192,5,3195,126,808,15350,52418,33288,35414,0,3,7,68702,2419089,0.00,39,9533,29329,2474,27327
26,DF,201003,201906,7,15,4,698,63,296,2310,11761,7528,6902,0,3,6,14430,28555,450.71,0,0,0,0,8997
27,RO,200801,201906,5,52,4,1811,701,3282,8742,4683,9853,7555,70,2,21,17408,853210,23647.83,3766,4313,9329,0,0
27,AC,201102,201906,5,6,4,73,40,297,319,118,386,388,0,2,10,774,39241,0.00,72,702,0,0,0
27,AM,200806,201906,7,28,5,420,243,1278,3008,1745,4146,2128,6,2,15,6274,548813,369.50,290,0,0,5984,0
27,RR,200802,201906,5,6,4,85,159,210,259,153,311,470,0,2,16,781,44106,752.07,18,763,0,0,0
27,PA,200802,201906,14,77,5,643,324,1494,3034,1646,3107,3391,24,2,17,6498,275325,1489.70,3181,2921,0,396,0
27,AP,200903,201906,5,9,4,92,80,152,407,180,465,354,4,2,12,819,38584,145.24,92,727,0,0,0
27,TO,200801,201906,6,92,2,770,443,1379,3937,3234,4568,4425,26,2,17,8993,530767,31348.55,869,2848,2843,2433,0
27,MA,200801,201906,9,79,6,1198,230,3426,9632,5268,9721,8836,2,2,15,18557,886932,31960.51,3289,243,0,15025,0
27,PI,200801,201906,7,26,6,87,10,180,546,285,542,479,2,2,12,1021,71087,725.06,331,0,690,0,0
27,CE,200801,201906,23,182,5,7631,1911,6495,27174,26614,36074,26136,37,2,25,62210,5276692,502965.59,27024,2110,665,0,32411
27,RN,200801,201906,14,139,8,2071,236,5092,13948,12687,17336,14627,1,2,15,31963,1824849,15855.03,10963,0,3142,0,17858
27,PB,200801,201906,11,168,7,2888,222,4405,15237,12023,19444,12443,30,2,24,31887,1448433,59343.76,6985,0,24902,0,0
27,PE,200805,201906,14,174,8,14465,930,16457,67136,69747,87787,66484,134,2,28,154271,7994396,361172.12,12875,0,6342,0,135054
27,AL,200801,201906,8,102,5,7118,534,8060,28675,29497,39387,27379,137,2,13,66766,4826527,335413.01,24156,0,42610,0,0
27,SE,200905,201906,8,46,4,340,79,865,1917,702,2092,1471,2,2,14,3563,81976,197.81,1479,0,0,0,2084
27,BA,200802,201906,37,248,7,2184,244,3249,11244,6460,12916,8281,12,2,21,21197,1709791,2828.56,6524,213,1069,0,13391
27,MG,200801,201906,43,685,6,16308,2032,22916,91511,72616,105561,83514,260,2,29,189075,17227699,467724.47,14030,14296,79309,11669,69771
27,ES,200801,201906,15,78,4,17246,935,25748,144067,115626,179608,106768,333,2,25,286376,21546895,488421.81,0,21340,79173,0,185863
27,RJ,200801,201906,6,56,4,655,87,693,3934,2670,4194,3190,0,2,16,7384,617191,2649.35,0,0,1608,261,5515
27,SP,200801,201906,40,644,9,144485,19009,205923,858938,889618,1165646,807854,2024,2,31,1973500,126036350,4024395.23,0,19125,378502,197734,1378139
27,PR,200803,201906,28,153,4,740,69,525,2549,1707,2779,2074,14,2,22,4853,287696,9053.24,28,109,3513,117,1086
27,SC,200801,201906,5,290,4,22343,1219,14638,71074,54314,79313,62115,332,2,27,141428,11670386,1634593.24,0,0,46223,44211,50994
27,RS,200801,201906,23,442,5,10741,679,8751,41618,32183,49119,34113,0,2,28,83232,6149030,820566.43,0,0,37208,5844,40180
27,MS,200801,201906,8,77,5,4496,753,6171,23046,19959,26022,23907,106,2,23,49929,2834500,102614.50,0,748,12885,36296,0
27,MT,200801,201906,7,117,4,2232,603,3347,10991,6527,10596,10872,74,2,22,21468,1478332,122107.07,927,13761,0,6780,0
27,GO,200801,201906,7,222,4,9273,1187,17651,67645,56390,86178,56695,143,2,22,142873,9929476,96889.25,800,33730,57884,7667,42792
27,DF,200801,201906,16,19,6,8633,1561,22169,73448,67824,94879,70123,3,2,21,165002,11994086,438922.17,0,0,0,0,101573
28,RO,200801,201906,2,25,2,192,13,838,83,0,934,0,0,6,10,934,735,260790.75,154,199,581,0,0
28,AC,200801,201906,2,12,1,126,10,589,111,0,710,0,0,6,7,710,569,224992.44,50,660,0,0,0
28,AM,200801,201906,1,7,1,480,31,675,187,3,896,0,0,7,6,896,763,759740.88,9,0,0,887,0
28,RR,200801,201701,1,3,1,48,11,144,35,3,193,0,0,5,8,193,112,53768.68,0,193,0,0,0
28,PA,200801,201906,10,39,5,505,31,1719,343,0,2087,6,0,7,6,2093,1035,831695.29,384,37,0,1672,0
28,AP,200905,201906,1,2,1,51,5,169,67,0,230,11,0,6,3,241,140,78559.49,0,241,0,0,0
28,TO,200801,201906,5,17,2,84,3,398,92,0,493,0,0,6,5,493,320,127716.52,20,110,181,182,0
28,MA,200801,201906,4,45,4,1116,66,2404,659,17,3133,13,0,7,7,3146,2460,1686122.93,507,54,0,2585,0
28,PI,200801,201906,3,51,3,570,70,1805,477,0,2334,18,0,7,8,2352,1560,1037112.05,414,0,1938,0,0
28,CE,200801,201906,13,129,4,2666,418,7645,2552,65,10668,12,0,7,8,10680,7033,6466714.04,2294,184,1920,0,6282
28,RN,200801,201906,7,112,2,1610,202,4928,2017,18,7152,13,0,7,8,7165,4050,3006393.94,1227,0,1304,0,4634
