"co_pcdt","nu_trimestre","sg_procedimento","qt_sexo_f","qt_idade_paciente60","qt_st_redesbr3","qt_ibge_gestao","qt_aprovada","qt_dispensacao","qt_cns_paciente"
2,"201302",OCTR20,1397,653,2142,23,5027,2306,873
2,"201302",OCTR30,1610,595,2690,21,6693,2865,981
2,"201303",AZAT50,275,87,359,12,24080,377,166
2,"201303",BROM25,440,86,588,11,31915,621,271
2,"201303",BROM5,3,0,3,2,150,3,2
2,"201303",CABE05,5584,1013,7501,25,93924,7960,3318
2,"201303",CICLOSP100,319,95,633,22,51973,670,316
2,"201303",CICLOSP10050,15,1,50,9,115,55,28
2,"201303",CICLOSP25,74,16,141,12,9548,150,67
2,"201303",CICLOSP50,226,57,395,19,33222,426,193
2,"201303",FILG300,69,29,93,14,1234,97,56
2,"201303",OCTR01,20,2,33,4,3471,39,15
2,"201303",OCTR10,314,125,430,13,875,455,183
2,"201303",OCTR20,1352,613,2061,24,4844,2244,872
2,"201303",OCTR30,1633,614,2656,22,8046,2872,1010
2,"201304",AZAT50,271,85,354,13,22696,367,169
2,"201304",BROM25,440,68,561,10,31493,600,258
2,"201304",BROM5,3,0,3,1,45,3,1
2,"201304",CABE05,5378,990,7257,25,92812,7688,3164
2,"201304",CICLOSP100,286,97,614,21,51411,640,295
2,"201304",CICLOSP10050,25,3,53,11,584,61,29
2,"201304",CICLOSP25,81,18,132,12,8581,140,58
2,"201304",CICLOSP50,212,62,398,17,29354,419,176
2,"201304",FILG300,53,30,83,13,1756,87,40
2,"201304",OCTR01,24,2,41,4,3643,47,17
2,"201304",OCTR10,303,119,410,12,1143,430,171
2,"201304",OCTR20,1405,676,2117,25,5540,2344,877
2,"201304",OCTR30,1666,632,2663,21,7034,2888,1044
2,"201401",AZAT50,250,74,325,10,22513,340,158
2,"201401",BROM25,233,38,311,9,15783,324,202
2,"201401",BROM5,2,0,2,2,105,2,2
2,"201401",CABE05,5323,996,7285,25,93678,7716,3252
2,"201401",CICLOSP100,271,99,632,23,56098,664,323
2,"201401",CICLOSP10050,20,2,61,8,375,63,31
2,"201401",CICLOSP25,83,13,149,15,9982,160,71
2,"201401",CICLOSP50,242,67,416,19,34038,438,197
2,"201401",FILG300,62,33,89,14,1863,103,50
2,"201401",LANR120,0,0,2,1,2,2,1
2,"201401",LANR90,1,1,1,1,1,1,1
2,"201401",OCTR01,25,3,38,4,1381,44,16
2,"201401",OCTR10,320,141,467,12,1173,487,204
2,"201401",OCTR20,1315,619,2103,24,5121,2268,899
2,"201401",OCTR30,1620,633,2631,21,7279,2866,1048
2,"201402",AZAT50,255,94,345,10,22975,361,162
2,"201402",CABE05,4820,976,6613,24,84175,7064,3119
2,"201402",CICLOSP10,0,0,1,1,372,1,1
2,"201402",CICLOSP100,316,122,721,23,66450,748,357
2,"201402",CICLOSP10050,20,2,57,8,202,58,31
2,"201402",CICLOSP25,80,11,167,15,11809,179,67
2,"201402",CICLOSP50,230,93,429,20,34204,450,194
2,"201402",FILG300,43,22,77,13,1737,88,45
2,"201402",LANR120,6,7,21,5,47,24,14
2,"201402",LANR90,5,3,11,2,11,11,7
2,"201402",OCTR01,17,2,28,4,45,30,16
2,"201402",OCTR10,275,133,435,12,1292,444,189
2,"201402",OCTR20,1377,672,2167,23,5895,2355,927
2,"201402",OCTR30,1625,679,2688,21,6238,2909,1062
2,"201403",AZAT50,261,92,322,10,22115,342,144
2,"201403",CABE05,5417,1125,7377,24,95780,7889,3246
2,"201403",CICLOSP10,1,0,0,1,60,1,1
2,"201403",CICLOSP100,360,110,789,23,73064,819,383
2,"201403",CICLOSP10050,37,4,91,11,393,92,44
2,"201403",CICLOSP25,85,12,163,16,13216,167,72
2,"201403",CICLOSP50,292,104,527,21,46656,556,233
2,"201403",FILG300,59,24,110,14,1834,124,59
2,"201403",LANR120,92,35,145,5,378,148,80
2,"201403",LANR60,1,1,1,1,1,1,1
2,"201403",LANR90,28,8,60,6,60,60,33
2,"201403",OCTR01,24,5,48,3,49,48,17
2,"201403",OCTR10,255,129,389,12,911,407,163
2,"201403",OCTR20,1467,748,2290,23,5890,2514,937
2,"201403",OCTR30,1737,744,2838,21,7142,3064,1070
2,"201404",AZAT50,231,84,299,12,20873,321,147
2,"201404",CABE05,5425,1120,7435,26,99717,7891,3162
2,"201404",CICLOSP10,2,0,0,1,120,2,1
2,"201404",CICLOSP100,364,121,785,23,73451,828,371
2,"201404",CICLOSP10050,27,4,69,13,130,72,39
2,"201404",CICLOSP25,107,14,165,11,13239,174,67
2,"201404",CICLOSP50,268,102,509,21,45103,536,227
2,"201404",FILG300,64,30,127,16,2111,132,70
2,"201404",LANR120,145,59,255,8,679,261,122
2,"201404",LANR60,5,3,5,1,5,5,2
2,"201404",LANR90,52,23,112,8,172,112,49
2,"201404",OCTR01,22,4,37,4,40,40,14
2,"201404",OCTR10,256,139,402,12,1114,422,174
2,"201404",OCTR20,1412,709,2219,22,6042,2414,910
