"co_pcdt","sg_procedimento","nu_ano_competencia","qt_paciente_tempo","qt_registros_avg","qt_registros_std","co_seq_pcdt_ano","qt_acum","sg_abc"
2,CICLOSP100,2015,289.0833333333331,5.4544025157232704,3.5719109054490850,4,0.2087102847336765,C
2,LANR120,2015,166.8333333333335,5.6078431372549020,4.0789601420574706,5,0.15091384682027958,C
2,CICLOSP50,2015,166.8333333333333,5.4108108108108108,3.8295516010971135,6,0.11755885440095964,C
2,OCTR10,2015,109.50000000000004,6.4097560975609756,4.5252995176599875,7,0.08420386198163976,C
2,AZAT50,2015,99.16666666666666,5.4090909090909091,3.8351783240269191,8,0.06231152429982839,C
2,CICLOSP25,2015,66.16666666666669,5.3648648648648649,3.8986281359163360,9,0.04248513020442845,C
2,LANR90,2015,62.91666666666668,4.6604938271604938,3.3955827722668898,10,0.02925642691724563,C
2,FILG300,2015,31.000000000000004,3.5094339622641509,3.3756700442991221,11,0.016677496209659953,C
2,CICLOSP10050,2015,23.58333333333334,4.4920634920634921,3.4071699346592141,12,0.010479665450425685,C
2,LANR60,2015,14.333333333333336,3.6595744680851064,2.6480230176383750,13,0.00576464903950284,C
2,OCTR01,2015,14.333333333333332,5.9310344827586207,5.3514419584335173,14,0.0028989853551257055,C
2,CICLOSP10,2015,0.16666666666666666,2.0000000000000000,,15,0.000033321670748571325,C
2,CABE05,2016,2240.9166666666697,6.6266633809758502,4.3544971362809311,1,1,A
2,OCTR30,2016,895.6666666666656,7.9910780669144981,4.1722486065814990,2,0.5523687452142354,B
2,OCTR20,2016,646.8333333333333,7.0244343891402715,3.8935496024562639,3,0.3734560708459565,C
2,LANR120,2016,317.41666666666663,7.6180000000000000,4.1683120866008348,4,0.24424875986283573,C
2,CICLOSP100,2016,286.08333333333314,5.2653374233128834,3.3767745237095248,5,0.1808436261943602,C
2,CICLOSP50,2016,166.00000000000006,5.2421052631578947,3.7281381446815709,6,0.12369743982421677,C
2,LANR90,2016,120.33333333333339,6.0166666666666667,3.6095719639454449,7,0.09053833605220225,C
2,OCTR10,2016,113.08333333333329,6.5240384615384615,4.6769451029596344,8,0.06650131504477808,C
2,CICLOSP25,2016,79.25,5.1684782608695652,3.9600306160936616,9,0.04391250790691478,C
2,AZAT50,2016,75.83333333333326,5.0276243093922652,3.3967810566713490,10,0.028082032160335564,C
2,FILG300,2016,23,3.3658536585365854,3.3278183826940325,11,0.012934048007457467,C
2,LANR60,2016,17.250000000000004,5.4473684210526316,3.6811966945329997,12,0.00833971435229883,C
2,CICLOSP10050,2016,17.25,3.8333333333333333,2.8267589281252565,13,0.004893964110929852,C
2,OCTR01,2016,7.25,5.1176470588235294,3.6035113594447096,14,0.0014482138695608745,C
2,CABE05,2017,2250.3333333333358,7.0377899400573365,4.3698750843757405,1,1.0000000000000002,A
2,OCTR30,2017,914.916666666666,8.1749813849590469,4.1018951105754653,2,0.5636069812540399,B
2,OCTR20,2017,743.2500000000002,7.2160194174757282,3.8078677144560505,3,0.38618293471234644,C
2,CICLOSP100,2017,308.9166666666665,5.2064606741573034,3.6546889676042332,4,0.2420491273432449,C
2,LANR120,2017,301.41666666666646,6.5171171171171171,4.0118478388302181,5,0.18214285714285708,C
2,CICLOSP50,2017,175.50000000000003,5.1871921182266010,3.6676003521712076,6,0.12369101486748543,C
2,LANR90,2017,141.7499999999999,5.9475524475524476,3.6659712036049404,7,0.08965740142210728,C
2,OCTR10,2017,107.41666666666664,6.8201058201058201,4.7050694694283524,8,0.06216871363930186,C
2,CICLOSP25,2017,79.58333333333327,5.1621621621621622,3.6139337346965714,9,0.04133807369101486,C
2,AZAT50,2017,76.6666666666667,4.8677248677248677,3.3830720032566159,10,0.025904977375565616,C
2,FILG300,2017,26.33333333333331,2.9811320754716981,3.0798303356963759,11,0.01103749191984486,C
2,CICLOSP10050,2017,14.833333333333332,3.7083333333333333,2.4664414311581237,12,0.005930833872010344,C
2,LANR60,2017,14.083333333333337,4.0238095238095238,2.8153593994727863,13,0.003054298642533938,C
2,OCTR01,2017,1.5833333333333333,6.3333333333333333,5.5075705472861020,14,0.0003232062055591468,C
2,CICLOSP10,2017,0.08333333333333333,1.00000000000000000000,,15,0.000016160310277957337,C
2,CABE05,2018,2017.0833333333312,7.2340107591153616,4.4554519624858190,1,1,A
2,OCTR30,2018,845.0000000000001,7.6701966717095310,4.0391915895507068,2,0.5923368421052635,B
